lineId	chId	mId	chName	dialogue
L2129	u17	m1	FERNANDO	You promise?  Do you swear on St. Christopher...?
L2128	u16	m1	COLUMBUS	There'll be a time.
L2127	u17	m1	FERNANDO	I want to go with you!
L2469	u16	m1	COLUMBUS	All of them created by people like me.
L2468	u24	m1	SANCHEZ	Roofs... towers, palaces... spires...
L2467	u16	m1	COLUMBUS	What do you see?
L2466	u16	m1	COLUMBUS	Look out of that window.
L2465	u24	m1	SANCHEZ	I am not afraid of you.  You are nothing but a dreamer.
L2464	u16	m1	COLUMBUS	Call them.
L2463	u24	m1	SANCHEZ	All I have to do is call the guards.
L2301	u24	m1	SANCHEZ	To rise so high, in so short a time, is a dangerous occupation.  A little hypocrisy goes a long way.
L2300	u16	m1	COLUMBUS	What...?  Do I have so many already?
L2299	u24	m1	SANCHEZ	You seem to have a special talent for making friends.
L2297	u16	m1	COLUMBUS	Good!  We are also in need of judges.  Except there are no thieves!
L2296	u24	m1	SANCHEZ	Don Bobadilla is already a judge, my Dear Don Cristobal.
L2295	u16	m1	COLUMBUS	But we do have a lack of notaries. You should contact my administration.
L2287	u16	m1	COLUMBUS	... for a commoner?
L2286	u24	m1	SANCHEZ	You defend yourself admirably...
L2282	u24	m1	SANCHEZ	Forgive me, Don Colon.  But what about gold?
L2281	u16	m1	COLUMBUS	They don't see sin in their nakedness.  They live according to nature, in a never ending summer. The islands are covered with trees, filled with blossoms and fruits. And...
L2110	u24	m1	SANCHEZ	If you won't accept our proposal, we'll simply find someone who will.
L2109	u16	m1	COLUMBUS	And were you never ambitious, Excellency?  Or is ambition only a virtue among the nobles, a fault for the rest of us?
L2108	u24	m1	SANCHEZ	Then you are too ambitious.
L2107	u16	m1	COLUMBUS	I'm not bargaining!
L2106	u24	m1	SANCHEZ	I remind you, Senor Colon, that you are in no position to bargain with me.
L2105	u16	m1	COLUMBUS	NO...!  I have waited too long, fought too hard.  Now you expect me to take all the risks while you take the profit!  No... I will not be your servant!
L2104	u24	m1	SANCHEZ	No?
L2103	u16	m1	COLUMBUS	No...
L2410	u25	m1	UTAPAN	You never learned how to speak my language.
L2409	u16	m1	COLUMBUS	Utapan, won't you speak to me?  You used to know how to speak to me.
L2394	u25	m1	UTAPAN	You did the same to your God!
L2393	u16	m1	COLUMBUS	You have to find them, Utapan.  Look what they did!
L2343	u16	m1	COLUMBUS	Ask him if he will help.
L2342	u25	m1	UTAPAN	He understands.
L2341	u16	m1	COLUMBUS	We will work with his people.  We want peace.  Ask the Chief if he understands?
L2260	u16	m1	COLUMBUS	He has medicine.  Tell him we admire his people.
L2259	u25	m1	UTAPAN	Chief says...
L2258	u16	m1	COLUMBUS	... and also to bring medicine.
L2257	u25	m1	UTAPAN	Chief says -- he has a God.
L2256	u16	m1	COLUMBUS	To bring the word of God.
L2255	u25	m1	UTAPAN	Why?
L2254	u16	m1	COLUMBUS	Thousands.
L2253	u25	m1	UTAPAN	Chief says -- how many?
L2251	u16	m1	COLUMBUS	Tell him his country is very beautiful.  Tell him we are leaving men here -- to build a fort.
L2250	u25	m1	UTAPAN	Chief knows.
L2249	u16	m1	COLUMBUS	Tell the Chief we thank him.
L2248	u25	m1	UTAPAN	You come!  You speak first!
L2239	u25	m1	UTAPAN	Island.  Far.
L2238	u16	m1	COLUMBUS	What is it?  A tribe?  An island?
L2237	u25	m1	UTAPAN	Say not here!  Cuba!
L2535	u16	m1	COLUMBUS	I don't know... I have the impression that I didn't change that much.  I still can't accept the world as it is!
L2534	u19	m1	MARCHENA	Oh?  So you are a new man?
L2533	u16	m1	COLUMBUS	New worlds create new people.
L2532	u19	m1	MARCHENA	I knew you would.
L2531	u16	m1	COLUMBUS	I have to disagree.
L2526	u16	m1	COLUMBUS	You'll always be older than me, Father.
L2525	u19	m1	MARCHENA	I suppose we're both old men now.
L2145	u16	m1	COLUMBUS	Give me absolution.
L2144	u19	m1	MARCHENA	I believed in you...
L2143	u16	m1	COLUMBUS	You are bound by an oath, Father.
L2142	u19	m1	MARCHENA	My son, my son...  Your certitudes are sometimes frightening...  Christopher, you must speak to them. And if you don't I will.
L2141	u16	m1	COLUMBUS	If I tell them, they won't follow me.  You know that I am right, Father.  You trust me...
L2140	u19	m1	MARCHENA	May God forgive you...!  You must tell them!  You must tell your men!
L2139	u16	m1	COLUMBUS	I am not sure... It could be twice the distance.
L2138	u19	m1	MARCHENA	How long?
L2137	u16	m1	COLUMBUS	I lied.  The journey will be longer than I said.
L2136	u19	m1	MARCHENA	What are you saying?
L2135	u16	m1	COLUMBUS	Father, I have betrayed my family. I betrayed my men.  And I betrayed you.
L2134	u19	m1	MARCHENA	I am listening, my son.
L2133	u16	m1	COLUMBUS	Forgive me, Father.  For I have sinned.
L2132	u19	m1	MARCHENA	In Nomine Patris et Filius, et Spiritus Sancti.
L2046	u19	m1	MARCHENA	Colon!  Don't!
L2045	u16	m1	COLUMBUS	All of them!  Just lies!
L2042	u16	m1	COLUMBUS	Damn all of you!  You all set up theories based on what?  You never leave the safety of your studies! Go out!  Find out what the world is about and then tell me something I can listen to!
L2041	u19	m1	MARCHENA	Colon!
L2040	u16	m1	COLUMBUS	Damn God!
L2039	u19	m1	MARCHENA	If God intends you to go, then you will go.
L2038	u16	m1	COLUMBUS	Wait!  I've waited seven years already!  How much longer do you want me to wait?
L2037	u19	m1	MARCHENA	You mustn't give way to despair. You must wait.
L1969	u19	m1	MARCHENA	Only God knows the meaning of such words, my son.
L1968	u16	m1	COLUMBUS	I've been contradicted all my life... Eternity!
L1967	u19	m1	MARCHENA	You get so carried away when you are being contradicted!
L1966	u16	m1	COLUMBUS	Passion is something one cannot control!
L1965	u19	m1	MARCHENA	Father Marchena!
L1964	u16	m1	COLUMBUS	I'll try to remember that, Marchena...
L1963	u19	m1	MARCHENA	Two minutes... and already you're a dead man.  Don't let passion overwhelm you, Colon.
L1962	u16	m1	COLUMBUS	So was Christ!
L1961	u19	m1	MARCHENA	Esdras is a Jew.
L1960	u16	m1	COLUMBUS	The calculations of Toscanelli Marin de Tyr, Esdras...
L1959	u19	m1	MARCHENA	How can you be so certain?
L1958	u16	m1	COLUMBUS	Ignorance!  I believe the Indies are no more than 750 leagues west of the Canary Islands.
L1957	u19	m1	MARCHENA	How can you be so certain?  The Ocean is said to be infinite.
L1952	u16	m1	COLUMBUS	To open a new route to Asia.  At the moment there are only two ways of reaching it...
L1951	u19	m1	MARCHENA	Why do you wish to sail west?
L1950	u19	m1	MARCHENA	With some difficulty.  I had to promise them you were not a total fool.
L1949	u16	m1	COLUMBUS	How did you manage it?
L1948	u19	m1	MARCHENA	That's what it says.
L1947	u16	m1	COLUMBUS	God... That's in a week!
L1943	u16	m1	COLUMBUS	Father, I am doing what I think is the best for him.  And he has the teacher I would have chosen for myself.
L1942	u19	m1	MARCHENA	Diego is a bright boy -- a pleasure to teach -- but so serious... Brothers should be raised together, Colon.  Even brothers from different mothers...
L2459	u16	m1	COLUMBUS	Your Majesty -- some men are content to read about things.  I must see them with my own eyes.  I cannot be other than I am.
L2458	u18	m1	ISABEL	There is one thing I'd like to understand... Why do you want to go back, after all this?
L2457	u16	m1	COLUMBUS	Thank you.
L2456	u18	m1	ISABEL	But without your brothers.  Nor are you to return to Santo Domingo or any of the other colonies.  You may explore the continent.
L2280	u16	m1	COLUMBUS	They come and go as naked as the day God created them...
L2279	u18	m1	ISABEL	Do they have such thoughts?
L2086	u16	m1	COLUMBUS	Thirty seven, Your Majesty... And you?
L2085	u18	m1	ISABEL	How old are you, Senor Colon?
L2082	u18	m1	ISABEL	A woman?
L2081	u16	m1	COLUMBUS	"I know what I see.  I see someone who doesn't accept the world as it is.  Who's not afraid.  I see a women who thinks... ""What if?""..."
L2080	u18	m1	ISABEL	You show no inclination to speak otherwise!
L2079	u16	m1	COLUMBUS	May I speak freely?
L2077	u16	m1	COLUMBUS	Surely you can do anything you want.
L2076	u18	m1	ISABEL	I cannot ignore the verdict of my council.
L2075	u18	m1	ISABEL	That she was impregnable.
L2074	u16	m1	COLUMBUS	What did they say about Granada before today?
L2073	u18	m1	ISABEL	The ocean is uncrossable?
L2072	u16	m1	COLUMBUS	No more than the woman who said she would take Granada from the Moors.
L2071	u18	m1	ISABEL	I should not even be listening to you, since my council said no.  But Santangel tells me you are a man of honor and sincerity... And Sanchez, that you are not a fool.
L2389	u21	m1	MOXICA	You will regret this.
L2388	u16	m1	COLUMBUS	You'll be held in detention, deprived of your privileges and possessions.  Until you are returned to Spain where you will be judged. Have you anything to say?
L2387	u21	m1	MOXICA	Savagery is what monkeys understand.
L2386	u16	m1	COLUMBUS	In one act of brutality, you have created chaos.  Tribes who were fighting each other are now joining forces against us!  All that because of your criminal savagery!
L2348	u21	m1	MOXICA	You did not hear me, Don Colon.  Not my horse.
L2347	u16	m1	COLUMBUS	Don Moxica -- we all have to work.
L2346	u21	m1	MOXICA	My horse doesn't work.
L2345	u16	m1	COLUMBUS	We can't raise the wheel without it.
L2333	u16	m1	COLUMBUS	We came here to stay!  To build! Not to start a crusade.  In this forest, there is enough danger to sweep us away in days!  So we will be brave and swallow our grief.  And in the name of those who died, we will accomplish what we came for.
L2332	u21	m1	MOXICA	We don't need to know.
L2331	u16	m1	COLUMBUS	You want a war?  Fine.  We are a thousand.  They outnumber us by ten! Who will you kill?  Which tribe?
L2329	u16	m1	COLUMBUS	If you want to keep your head on your shoulders, you'll do as I say.
L2328	u21	m1	MOXICA	We lost cousins, friends.  We will wash this in blood.
L2278	u16	m1	COLUMBUS	The Indians have no such word, Don Moxica.
L2277	u21	m1	MOXICA	And you say this is an Indian vice? By God!  I don't see any kind of pleasure that would make this a sin.
L2492	u20	m1	MENDEZ	We can't be.
L2491	u16	m1	COLUMBUS	He's drawing an isthmus... He's saying we're on an isthmus.
L2490	u20	m1	MENDEZ	What's he doing?
L2165	u20	m1	MENDEZ	Twenty eight.
L2164	u16	m1	COLUMBUS	What do you read?
L2160	u16	m1	COLUMBUS	Come over here.
L2159	u20	m1	MENDEZ	Well, I surely know what a quadrant is!  But I've never seen it used at night before.
L2158	u16	m1	COLUMBUS	And what do you think Mendez?
L2157	u20	m1	MENDEZ	Well... It's the men, Sir.  They wonder how you know our position. We've lost sight from land days ago...
L2155	u20	m1	MENDEZ	God be with us admiral.
L2154	u16	m1	COLUMBUS	Due west, Captain Mendez.  And may God be with us...
L2211	u16	m1	COLUMBUS	You're right.  Let the men decide.
L2210	u22	m1	PINZON	You tell that to them!
L2209	u16	m1	COLUMBUS	Pinzon, Pinzon... All we can do now is go forward!  Think about that!
L2208	u22	m1	PINZON	You bloody...
L2207	u16	m1	COLUMBUS	You never did.  You did all the talking for both of us, remember?
L2206	u22	m1	PINZON	Jesus Maria!  I should have never listened to you!
L2205	u16	m1	COLUMBUS	And then what?  Half of the water has gone, the rest is nearly putrid! You know that!
L2204	u22	m1	PINZON	You don't know anything!  Listen Colon, these are my ships, right? So I'm telling you we're turning back!
L2203	u16	m1	COLUMBUS	The land is there.  I know it!
L2202	u22	m1	PINZON	We're lost!
L2201	u16	m1	COLUMBUS	You think I don't know that?
L2200	u22	m1	PINZON	We're on the verge of a mutiny, Colon!
L2199	u16	m1	COLUMBUS	We have to keep the hopes of these men alive!
L2198	u22	m1	PINZON	You must be mad...!
L2197	u16	m1	COLUMBUS	Six days ago, yes.
L2196	u22	m1	PINZON	You lied!  You cheated!  We're way past 750 leagues!
L2065	u22	m1	PINZON	Immediately.
L2064	u16	m1	COLUMBUS	Where can I meet this man?
L2462	u18	m1	ISABEL	Because he is not afraid of me.
L2461	u24	m1	SANCHEZ	Then why?
L2460	u18	m1	ISABEL	I know, I should not tolerate his impertinence.
L2419	u18	m1	ISABEL	And who would you think of, for such a task?
L2418	u24	m1	SANCHEZ	He must be replaced.
L2417	u18	m1	ISABEL	Then, what do you suggest, Don Sanchez?
L2415	u18	m1	ISABEL	Is this true, Brother Buyl?
L2414	u24	m1	SANCHEZ	... But there is worse.  He ordered the execution of five members of the nobility...
L2377	u18	m1	ISABEL	We weren't expecting immediate profits, were we?  We must have faith.  We must give time for time.
L2376	u24	m1	SANCHEZ	Every ship returns with a cargo of sick and dying.  But with no gold! The new world proves expensive, Your Majesty.
L2116	u18	m1	ISABEL	Yes.  It would be a pity, wouldn't it?  Call him back!
L2115	u24	m1	SANCHEZ	... Into a monk...
L2113	u24	m1	SANCHEZ	Never, Your Majesty.  Although...
L2112	u18	m1	ISABEL	You were right, Don Sanchez... His demands could never be granted.
L1931	u24	m1	SANCHEZ	Yes, Your Majesty.
L1930	u18	m1	ISABEL	Is that the man I knew, Treasurer Sanchez?
L31167	u241	m16	ALLEGRO	At present the girls only peck me. Their cruelty surely will wreck me. But one little beak in my own, And I'll up to heaven be flown! At present the girls only peck me. But one little beak in my own, And I'll up to heaven be flown. Up to heaven be flown! Up to heaven be flown!
L31166	u242	m16	ANDANTE	A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish.
L31165	u241	m16	ALLEGRO	I need to net one birdie only And I will stop feeling so lonely. But if she won't fly to my aid, Then into a ghost I must fade. I need to net one birdie only But if she won't fly to my aid, Then into a ghost I must fade.  To a ghost I must fade! To a ghost I must fade!
L31164	u242	m16	ANDANTE	A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish.
L31163	u241	m16	ALLEGRO	Then that would be eating and drinking I'd live like a Prince without thinking. The wisdom of old would be mine - A woman's much better than wine! Then that would be eating and drinking! The wisdom of old would be mine - A woman's much better than wine. She's much better than wine! She's much better than wine!
L31162	u242	m16	ANDANTE	A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish. Be my most tasty little dish! Be my most tasty little dish!
L30091	u255	m16	MOZART	What do you mean?
L30090	u243	m16	ARCO	His Grace is very angry with you.
L30089	u255	m16	MOZART	These Viennese certainly know good music when they hear it.
L30088	u243	m16	ARCO	Indeed.
L30087	u255	m16	MOZART	Well, I think that went off remarkably well, don't you?
L30086	u255	m16	MOZART	Certainly!
L30085	u243	m16	ARCO	Follow me, please. The Archbishop would like a word.
L30321	u244	m16	CAVALIERI	Meaning you didn't like it.
L30320	u260	m16	SALIERI	Extremely clever.
L30319	u244	m16	CAVALIERI	What did you think of the music?
L30318	u260	m16	SALIERI	You were sublime.
L30317	u244	m16	CAVALIERI	How was I? Tell me honestly.
L30316	u244	m16	CAVALIERI	Nothing! He can marry who he pleases. I don't give a damn.
L30315	u260	m16	SALIERI	Well, what does it matter to you?
L30314	u244	m16	CAVALIERI	The marriage!
L30313	u260	m16	SALIERI	What?
L30312	u244	m16	CAVALIERI	Did you know? Had you heard?
L30251	u244	m16	CAVALIERI	Looks don't concern me, Maestro. Only talent interests a woman of taste.
L30250	u260	m16	SALIERI	Looks and talent don't always go together, Katherina.
L30249	u244	m16	CAVALIERI	Why?
L30248	u260	m16	SALIERI	You might be disappointed.
L30247	u244	m16	CAVALIERI	What does he look like?
L30246	u260	m16	SALIERI	Perhaps.
L30245	u244	m16	CAVALIERI	Oh. Well perhaps you could introduce us anyway.
L30244	u260	m16	SALIERI	My dear, it will hardly enhance your reputation to be celebrated throughout Vienna as a singing prostitute for a Turk.
L30243	u244	m16	CAVALIERI	Turkish? Oh, if it's Turkish, that's different. I want to be in it.
L30242	u260	m16	SALIERI	A Turkish brothel.
L30241	u244	m16	CAVALIERI	Oh!
L30240	u260	m16	SALIERI	A brothel.
L30239	u244	m16	CAVALIERI	What's that?
L30238	u260	m16	SALIERI	In a harem.
L30237	u244	m16	CAVALIERI	Where?
L30236	u260	m16	SALIERI	Well, do you know where it's set, my dear?
L30235	u244	m16	CAVALIERI	Why not?
L30234	u260	m16	SALIERI	Well even if there is, I don't think you want to get involved with this one.
L30233	u244	m16	CAVALIERI	How do you know?
L30232	u260	m16	SALIERI	No.
L30231	u244	m16	CAVALIERI	Is there a part for me?
L30230	u260	m16	SALIERI	Yes.
L30229	u244	m16	CAVALIERI	And he's been commissioned to write an opera. Is it true?
L30228	u260	m16	SALIERI	Oh? News travels fast in Vienna.
L30227	u244	m16	CAVALIERI	Well, I heard you met Herr Mozart.
L30226	u260	m16	SALIERI	Really? What else did he tell you today? Give me some gossip.
L30225	u244	m16	CAVALIERI	Well? How do you like it? It's Turkish. My hairdresser tells me everything's going to be Turkish this year!
L30224	u260	m16	SALIERI	Good morning.
L30223	u244	m16	CAVALIERI	Maestro.
L30337	u255	m16	MOZART	Excuse us, Fraulein. Good night, Signore.
L30336	u244	m16	CAVALIERI	No, no, no, no. You can't take him away now. This is his night. Won't you introduce us, Wolfgang?
L30332	u244	m16	CAVALIERI	I assume she's the virtuoso in that department. There can't be any other reason you'd marry someone like that.
L30331	u255	m16	MOZART	What??
L30330	u244	m16	CAVALIERI	Is she a good fuck?
L30325	u244	m16	CAVALIERI	I'm so relieved.
L30324	u255	m16	MOZART	No, she's fine.
L30323	u244	m16	CAVALIERI	Is her mother still lying on the floor?
L30322	u255	m16	MOZART	Oh - excuse me!
L30305	u255	m16	MOZART	I'll be right back.
L30304	u244	m16	CAVALIERI	Don't bother.
L30303	u255	m16	MOZART	What?
L30302	u244	m16	CAVALIERI	Don't bother!
L30301	u255	m16	MOZART	Katherina! I'll tell you what I'm going to do. I'm going to write another aria for you. Something even more amazing for the second act. I have to get some water. Her mother is lying on the stage.
L30356	u252	m16	LEOPOLD	Oh, Your Grace - I thank Your Grace! I thank you!
L30355	u245	m16	COLLOREDO	You have leave to try.
L30354	u252	m16	LEOPOLD	Oh, sir, he's never disobeyed me in anything. Please, Your Grace, give him one more chance.
L30353	u245	m16	COLLOREDO	And how will you make him keep it?
L30352	u252	m16	LEOPOLD	Yes, sir, that's the truth. But don't blame him. The fault is mine. I was too indulgent with him. But not again. Never again, I promise! I implore you - let me bring him back here. I'll make him give his word to serve you faithfully.
L30351	u245	m16	COLLOREDO	Your son is an unprincipled, spoiled, conceited brat.
L30350	u252	m16	LEOPOLD	Sir -
L30349	u245	m16	COLLOREDO	I'm not surprised. Money seems to be more important to him than loyalty or friendship. He has sold himself to Vienna. Let Vienna look out for him.
L30348	u252	m16	LEOPOLD	Oh sir, yes! He's about to make the worst mistake of his life. Some little Viennese slut is trying to trick him into marriage. I know my son. He is too simple to see the trap - and there is no one there who really cares for him.
L30347	u245	m16	COLLOREDO	Hardly.
L30346	u252	m16	LEOPOLD	But he needs to be here in Salzburg, Your Grace. He needs me and he needs you. Your protection, your understanding.
L30345	u245	m16	COLLOREDO	No! I won't have him back.
L30102	u245	m16	COLLOREDO	Then try harder, Mozart. I have no intention of dismissing you. You will remain in my service and learn your place. Go now.
L30101	u255	m16	MOZART	No, Your Grace! I mean with all humility, no. I would rather you dismissed me. It's obvious I don't satisfy.
L30100	u245	m16	COLLOREDO	I wish you to return immediately to Salzburg. Your father is waiting for you there patiently. I will speak to you further when I come.
L30099	u255	m16	MOZART	If His Grace is not satisfied with me, he can dismiss me.
L30098	u245	m16	COLLOREDO	How much provocation am I to endure from you? The more license I allow you, the more you take.
L30097	u255	m16	MOZART	Humiliated?
L30096	u245	m16	COLLOREDO	Why do I have to be humiliated in front of my guests by one of my own servants?
L30095	u255	m16	MOZART	Why what, sir?
L30983	u246	m16	COMMENDATORE	Oh shut up. I'm sick to death of that tune.
L30982	u261	m16	SCHIKANEDER	In the pot, I have got a good dinner. Not a sausage or stew, but a singer. Not a sausage or stew but a singer. Is the treat that I'll eat for my meat!
L30954	u246	m16	COMMENDATORE	Are you drunk? You invited me. And my horse. Here he is. Ottavio!
L30953	u261	m16	SCHIKANEDER	Dinner? How dare you? I am a nobleman. I only dine with people of my own height.
L30952	u246	m16	COMMENDATORE	I've come to dinnnnnner!
L30951	u261	m16	SCHIKANEDER	Who the devil are you? What do you want?
L30950	u246	m16	COMMENDATORE	Don Giovannnnnnnni!
L31247	u256	m16	OFFICER	What are you talking about?
L31246	u247	m16	CONSTANZE	I feel wrong. I feel wrong being here.
L31245	u256	m16	OFFICER	Why?
L31244	u247	m16	CONSTANZE	Yes!
L31243	u256	m16	OFFICER	Now?
L31242	u247	m16	CONSTANZE	I want to go back to Vienna.
L31241	u256	m16	OFFICER	Where?
L31240	u247	m16	CONSTANZE	I want to go!
L31239	u256	m16	OFFICER	What is it?
L31147	u247	m16	CONSTANZE	Please! Let me sit here. Let me stay here with you. I promise I won't say all word. I'll just be here, so you know no one's going to hurt you. Please, please!
L31146	u255	m16	MOZART	Go back to bed.
L31143	u255	m16	MOZART	It's killing me.
L31142	u247	m16	CONSTANZE	Why not?
L31141	u255	m16	MOZART	I can't write it!
L31140	u247	m16	CONSTANZE	Give me one reason I can understand.
L31137	u255	m16	MOZART	Give me two more weeks. Please.
