lineId	chId	mId	chName	dialogue
L146627	u4647	m308	MICHAEL	What do you want to do?
L146626	u4646	m308	LETTY	What are we going to do?
L146625	u4646	m308	LETTY	Oh, God, Michael, I know.  Why does everything have to be so hard?
L146624	u4647	m308	MICHAEL	I didn't mean for any of this to happen.
L146623	u4646	m308	LETTY	I'm sorry.     I didn't come here to blame you.
L146622	u4647	m308	MICHAEL	I don't know. I don't fucking know.
L146621	u4646	m308	LETTY	Well then why'd it happen?
L146620	u4647	m308	MICHAEL	But that wasn't me.    I didn't mean to do that.
L146619	u4646	m308	LETTY	Someone has to take care of you right now, Michael. You tore up the apartment. You stopped taking your medications.
L146618	u4647	m308	MICHAEL	Like I've told you before I don't want you taking care of me.
L146617	u4647	m308	MICHAEL	Letty, please.
L146616	u4646	m308	LETTY	I've been thinking I could try to visit you at night after work, and then there'd be more time on weekends to see...
L146615	u4647	m308	MICHAEL	Yeah, the plans.
L146614	u4646	m308	LETTY	And all the plans we have.
L146613	u4647	m308	MICHAEL	I sure know what that feels like.
L146611	u4646	m308	LETTY	It's hard to know where to start.
L146610	u4647	m308	MICHAEL	I guess so.
L146609	u4646	m308	LETTY	I guess we need to talk.
L146569	u4646	m308	LETTY	Michael, calm down. Please. It's OK.
L146568	u4647	m308	MICHAEL	Don't upset my Mom.     Don't you upset my Mom.
L146567	u4646	m308	LETTY	I think I should call someone.
L146566	u4647	m308	MICHAEL	Silly, silly, silly.
L146565	u4646	m308	LETTY	Michael, take it easy.
L146564	u4647	m308	MICHAEL	Silly?   Silly am I?
L146563	u4646	m308	LETTY	I didn't talk to her about medications, Michael. Don't be silly.
L146562	u4647	m308	MICHAEL	Why'd you tell?
L146561	u4646	m308	LETTY	What do you mean not taking your meds?
L146560	u4646	m308	LETTY	We both talked to her, Michael. And your dad.
L146559	u4647	m308	MICHAEL	I saw you talking to my Mom.
L146558	u4646	m308	LETTY	What?
L146557	u4647	m308	MICHAEL	Always the drugs.
L146556	u4646	m308	LETTY	What is it? Are you OK?
L146549	u4647	m308	MICHAEL	It wasn't exactly a lie.
L146548	u4646	m308	LETTY	Bye, Uncle Cort.  What's with the lie?
L146546	u4647	m308	MICHAEL	How about a dance?
L146545	u4646	m308	LETTY	When he could get time off from the restaurant business.
L146544	u4647	m308	MICHAEL	Something like that.
L146530	u4646	m308	LETTY	Bingo.
L146529	u4647	m308	MICHAEL	Aunt Lily?
L146527	u4646	m308	LETTY	You don't have to know all this by Saturday. It took me years.
L146526	u4647	m308	MICHAEL	Oh. And, Harry, he's the one who likes magic?
L146525	u4646	m308	LETTY	No, that's Aunt Connie. Lily is the one who looks like a hooker.
L146524	u4647	m308	MICHAEL	Aunt Lily is the one who married your father's cousin?
L146514	u4646	m308	LETTY	Congratulations.
L146513	u4647	m308	MICHAEL	How may I help you?
L146512	u4646	m308	LETTY	I got worried. Are you OK?
L146511	u4647	m308	MICHAEL	Hey, Letty. Mrs. Mayer.
L146501	u4647	m308	MICHAEL	Coming.
L146500	u4646	m308	LETTY	You're going to miss the Top Ten.
L146499	u4646	m308	LETTY	I think you know I'd love you even more in a blue polyester cap.
L146498	u4647	m308	MICHAEL	Just promise you'll love me even if I end up in a job where I have to wear a blue polyester cap.
L146496	u4647	m308	MICHAEL	You don't have to take care of me, you know.
L146495	u4646	m308	LETTY	That's OK. We can call and reschedule in the morning.
L146494	u4647	m308	MICHAEL	I couldn't even face that one.
L146493	u4646	m308	LETTY	The restaurant, too?
L146492	u4647	m308	MICHAEL	Four interviews. Four no-gos.
L146480	u4647	m308	MICHAEL	Big restaurant interview tomorrow.
L146479	u4646	m308	LETTY	Are you OK?
L146478	u4647	m308	MICHAEL	I think I should go home.
L146477	u4646	m308	LETTY	You go ahead and relax. I'll cook.
L146476	u4647	m308	MICHAEL	Would you mind if we just called it an early night?
L146475	u4646	m308	LETTY	You got wine. That's great.
L146474	u4647	m308	MICHAEL	The store was busy.
L146469	u4646	m308	LETTY	Steak?
L146468	u4647	m308	MICHAEL	Promise.  As long as we have steak.
L146467	u4646	m308	LETTY	Promise?
L146466	u4647	m308	MICHAEL	It doesn't matter.    It'll work out.
L146465	u4646	m308	LETTY	Who ever said sanity was fun?
L146464	u4646	m308	LETTY	Yeah.    How was the job search?
L146463	u4647	m308	MICHAEL	Sounds grim.
L146462	u4646	m308	LETTY	I bombed. It's either work in the office or nothing.
L146461	u4646	m308	LETTY	That's Mr. Beast to you.
L146460	u4647	m308	MICHAEL	This must be Beast.
L146459	u4646	m308	LETTY	Thanks.
L146458	u4647	m308	MICHAEL	Gosh, Letty, this is a great place.
L146439	u4647	m308	MICHAEL	You've got one hell of a great body.
L146438	u4646	m308	LETTY	Yeah?
L146437	u4647	m308	MICHAEL	Sounds good. Oh, and Letty?
L146435	u4647	m308	MICHAEL	You, too. Kick ass today.
L146434	u4646	m308	LETTY	Good luck.
L146433	u4647	m308	MICHAEL	I'll see you tonight.
L146432	u4646	m308	LETTY	I'm supposed to meet the principal in half an hour.
L146430	u4647	m308	MICHAEL	I'll be forced to tickle you.
L146429	u4646	m308	LETTY	Not yet.
L146427	u4647	m308	MICHAEL	Shhhh.
L146426	u4646	m308	LETTY	Michael.
L146425	u4647	m308	MICHAEL	No.
L146424	u4646	m308	LETTY	Did I get spaghetti sauce on my face?
L146422	u4646	m308	LETTY	It's sex time.
L146421	u4647	m308	MICHAEL	Hey.
L146420	u4646	m308	LETTY	You're so wrong.
L146419	u4647	m308	MICHAEL	I like it.     But Headlines are better.
L146418	u4646	m308	LETTY	How can you not like the Top 10 List?
L146417	u4647	m308	MICHAEL	Out? Are you kidding?     I've got all the fixings here.
L146416	u4646	m308	LETTY	What do you say we go out to dinner to celebrate?
L146415	u4647	m308	MICHAEL	Really?
L146414	u4646	m308	LETTY	I love your apartment.
L146413	u4647	m308	MICHAEL	Do you like it?
L146412	u4647	m308	MICHAEL	You've got to see the kitchen first.
L146411	u4646	m308	LETTY	Let's try out the bed.
L146410	u4647	m308	MICHAEL	I was tired of watching what everyone else wants to watch. Now we can watch two shows at once.
L146409	u4646	m308	LETTY	It's TV heaven.
L146408	u4646	m308	LETTY	Very trendy. Let's see the rest.
L146407	u4647	m308	MICHAEL	Throw pillows, Letty. The sales lady said they're the latest thing.
L146406	u4646	m308	LETTY	I love the pillows.
L146405	u4647	m308	MICHAEL	You like it?
L146404	u4646	m308	LETTY	Wow.
L146402	u4646	m308	LETTY	Open up.    I want to see.
L146401	u4647	m308	MICHAEL	This is it -- 3B.     Check it out.
L146400	u4646	m308	LETTY	I've heard the mission in Santa Barbara is the place to go.
L146399	u4647	m308	MICHAEL	Where to?
L146398	u4646	m308	LETTY	Aren't you ever quiet?
L146397	u4647	m308	MICHAEL	Aren't you supposed to throw a bouquet or something?
L146362	u4646	m308	LETTY	List schmist. You'll remember.
L146361	u4647	m308	MICHAEL	I better make a list.
L146360	u4646	m308	LETTY	First off, you'll need to go to Target. And, let's see, what should you buy?
L146359	u4647	m308	MICHAEL	No, I need some serious household advice.
L146358	u4646	m308	LETTY	Furnished?
L146357	u4646	m308	LETTY	All over.  Did you see your new apartment?
L146356	u4647	m308	MICHAEL	So, it's over?
L146355	u4646	m308	LETTY	Yeah.
L146354	u4647	m308	MICHAEL	I saw Paul leaving.    Did you do the dirty deed?
L146353	u4646	m308	LETTY	Just checking.
L146352	u4646	m308	LETTY	And did you go to the mission?
L146351	u4647	m308	MICHAEL	Not a one.
L146350	u4646	m308	LETTY	So there were no problems?
L146349	u4647	m308	MICHAEL	I was brilliant, or at least boringly sane.
L146348	u4646	m308	LETTY	Tell me all.
L146346	u4647	m308	MICHAEL	Home free.
L146345	u4646	m308	LETTY	Well?
L146309	u4646	m308	LETTY	Great. I came to tell you to break a leg, and to give you this for good luck.
L146308	u4647	m308	MICHAEL	Oh, right.     I'm ready.   How do I look?
L146307	u4646	m308	LETTY	John and Nurse Gates are waiting for you.
L146305	u4646	m308	LETTY	But I do.     I love you, too.
L146304	u4647	m308	MICHAEL	It's OK. You don't have to say anything.
L146303	u4646	m308	LETTY	Michael, I...
L146302	u4647	m308	MICHAEL	I do.
L146301	u4646	m308	LETTY	Do you?
L146300	u4647	m308	MICHAEL	"You're right. I guess I was projecting. What I should have said is, ""It's a good thing I love you."""
L146299	u4646	m308	LETTY	Your family just met me.
L146298	u4647	m308	MICHAEL	It's a good thing my family loves you.
L146297	u4646	m308	LETTY	Lie down.
L146296	u4647	m308	MICHAEL	Then it's over.
L146295	u4646	m308	LETTY	I don't like lamb.
L146294	u4647	m308	MICHAEL	Tell the doctor.
L146293	u4646	m308	LETTY	I have a terrible confession.
L146292	u4647	m308	MICHAEL	How can you even mention Spaghetti- O's after eating Grandma Rosa's dinner tonight?
L146291	u4646	m308	LETTY	And we'd eat Spaghetti-O's in bed from the can.
L146290	u4647	m308	MICHAEL	I'd like to drink a bottle of red wine with you and then make love to you and spend the whole night together. And we'd get up in the morning and spend hours lounging around and reading the paper.
L146289	u4646	m308	LETTY	What else would you do?
L146287	u4647	m308	MICHAEL	That's where I always go when I get out.
L146286	u4646	m308	LETTY	No way.
L146285	u4647	m308	MICHAEL	The mission up in Santa Barbara.
L146284	u4646	m308	LETTY	I just want to see Beast.  Where would you go?
L146283	u4647	m308	MICHAEL	You must have thought about it. Everyone does.
L146216	u4646	m308	LETTY	Break up?    They wish.
L146215	u4647	m308	MICHAEL	Why in the world did you let me start talking in metaphors? That's no way for us to break up.
L146214	u4647	m308	MICHAEL	My Grandma Rosa says that some trees get planted in rich top soil, and they grow right up to the sun, tall and straight. Other trees, they start as seeds in the crevices between rocks so they have to twist and bend to reach the light.  But even though they end up crooked, they're still trees, just like the straight ones.
L146213	u4646	m308	LETTY	I'm starting to think that everyone's crazy to some extent.
L146212	u4647	m308	MICHAEL	I wish I could have seen that.
L146211	u4646	m308	LETTY	Sure. But I took out a whole grocery store.
L146210	u4647	m308	MICHAEL	Shocking, huh?
L146209	u4646	m308	LETTY	What are the delusions like?
L146208	u4647	m308	MICHAEL	Really, though. My thoughts go haywire sometimes.
L146207	u4646	m308	LETTY	Schizophrenic recidivism marked by hallucinations and paranoid delusions.
L146206	u4647	m308	MICHAEL	What's my rap?
L146205	u4646	m308	LETTY	Wow.    I'm bad news.
L146204	u4647	m308	MICHAEL	I had to sneak by the guards to get here. They say you're highly unstable, have a depressive personality, and may hold back my own recovery.
L146203	u4646	m308	LETTY	Really?    Me too.
L146202	u4647	m308	MICHAEL	I'm not allowed to see you anymore.
L146201	u4647	m308	MICHAEL	Back-to-back sessions with the shrink.
L146200	u4646	m308	LETTY	Thanks.    Where've you been all day?
L146199	u4647	m308	MICHAEL	A rose is a rose.
L146198	u4646	m308	LETTY	The lady knows this is a dandelion.
L146197	u4647	m308	MICHAEL	A daisy for the lady.
L146148	u4647	m308	MICHAEL	Rendezvous at the closet in 30.
L146147	u4646	m308	LETTY	Don't be ridiculous.
L146146	u4647	m308	MICHAEL	Nervous? Scared? Worried you're not fit for a caper of epic proportions?
L146145	u4647	m308	MICHAEL	No rounds for another three hours.
L146144	u4646	m308	LETTY	We'll get caught.
L146143	u4647	m308	MICHAEL	Exactly.
L146142	u4646	m308	LETTY	We're supposed to be asleep.
L146109	u4646	m308	LETTY	And I'm not covering for you when you sneak out to call Dominos.
L146108	u4647	m308	MICHAEL	No.
L146107	u4646	m308	LETTY	I won't do your portion of kitchen cleanup.
L146106	u4647	m308	MICHAEL	A small price.
L146105	u4646	m308	LETTY	Good God.
L146104	u4647	m308	MICHAEL	For a price.
L146103	u4647	m308	MICHAEL	OK, OK, I'll give it back.
L146102	u4646	m308	LETTY	Really, this isn't funny.
L146098	u4646	m308	LETTY	The left one.
L146097	u4647	m308	MICHAEL	Guess.
L146096	u4646	m308	LETTY	Enough with the abracadabra.
L146095	u4647	m308	MICHAEL	Guess which hand.
L146093	u4647	m308	MICHAEL	It's magic.
L146092	u4646	m308	LETTY	What have you done with the ring?
L146091	u4647	m308	MICHAEL	So are you engaged, or what?
L146090	u4646	m308	LETTY	It was romantic.   He's very romantic.
L146089	u4647	m308	MICHAEL	Very romantic setting.
L146088	u4646	m308	LETTY	He asked me to marry him.
L146087	u4646	m308	LETTY	Paul.
L146086	u4647	m308	MICHAEL	Was it bad news--the visit from Peter?
L146085	u4646	m308	LETTY	Finally. I was getting tired of watching him try every night.
L146084	u4647	m308	MICHAEL	John even managed to lob a load of mashed potatoes into Mrs. Hallstrom's milk.
L146083	u4646	m308	LETTY	I wasn't hungry.
L146082	u4647	m308	MICHAEL	You missed out on some great broccoli florets at dinner.
L146044	u4647	m308	MICHAEL	I've already checked it out 17 times.
